"firstname","lastname","birthyear","zipcode","id.a","id.b"
"David","Davis",1994,14920,4325,4325
"David","Davis",1994,16991,4338,4338
"David","Davis",1994,17008,8357,8357
"David","Davis",1995,13685,1807,1807
"David","Davis",1996,11089,1163,1163
"David","Davis",1996,13321,4419,4419
"David","Davis",1996,14761,2405,2405
"David","Davis",1996,19799,5603,5603
"David","Davis",1998,17144,1788,1788
"David","Davis",1999,18102,948,948
"David","Davis",2000,13538,6388,6388
"David","Garcia",1970,16174,8648,8648
"David","Garcia",1970,17253,4463,4463
"David","Garcia",1970,18341,5565,5565
"David","Garcia",1971,17604,7637,7637
"David","Garcia",1971,19989,1714,1714
"David","Garcia",1972,12888,8463,8463
"David","Garcia",1972,18855,7333,7333
"David","Garcia",1973,16844,1413,1413
"David","Garcia",1976,10261,3927,3927
"David","Garcia",1977,11134,4864,4864
"David","Garcia",1977,13693,9157,9157
"David","Garcia",1977,15536,3951,3951
"David","Garcia",1978,17233,1305,1305
"David","Garcia",1978,17606,3465,3465
"David","Garcia",1978,19422,9318,9318
"David","Garcia",1979,10250,412,412
"David","Garcia",1979,12981,9322,9322
"David","Garcia",1979,13860,1532,1532
"David","Garcia",1980,15066,1654,1654
"David","Garcia",1980,18652,4473,4473
"David","Garcia",1981,11819,6148,6148
"David","Garcia",1981,12195,7196,7196
"David","Garcia",1981,18217,1965,1965
"David","Garcia",1982,10097,4275,4275
"David","Garcia",1982,10894,5887,5887
"David","Garcia",1982,18741,7015,7015
"David","Garcia",1985,15964,880,880
"David","Garcia",1986,16430,2570,2570
"David","Garcia",1986,19649,6465,6465
"David","Garcia",1987,16138,7889,7889
"David","Garcia",1987,16865,3041,3041
"David","Garcia",1988,12900,7729,7729
"David","Garcia",1988,18918,8035,8035
"David","Garcia",1992,14893,7615,7615
"David","Garcia",1993,15324,7757,7757
"David","Garcia",1993,18256,7001,7001
"David","Garcia",1995,14098,2495,2495
"David","Garcia",1996,13019,1541,1541
"David","Garcia",1996,14184,1576,1576
"David","Garcia",1997,10682,7828,7828
"David","Garcia",1997,15560,3297,3297
"David","Garcia",1997,19491,767,767
"David","Garcia",1998,17789,6058,6058
"David","Garcia",1999,13381,8146,8146
"David","Garcia",2000,18067,3920,3920
"David","Johnson",1970,16061,566,566
"David","Johnson",1971,11715,580,580
"David","Johnson",1971,13080,7396,7396
"David","Johnson",1971,15474,8967,8967
"David","Johnson",1971,17052,1238,1238
"David","Johnson",1971,19552,7199,7199
"David","Johnson",1972,15020,1584,1584
"David","Johnson",1972,19902,4666,4666
"David","Johnson",1973,10084,8702,8702
"David","Johnson",1974,12926,6468,6468
"David","Johnson",1974,13761,5584,5584
"David","Johnson",1974,17555,6050,6050
"David","Johnson",1974,19510,4584,4584
"David","Johnson",1975,12389,5270,5270
"David","Johnson",1977,14006,7906,7906
"David","Johnson",1978,17488,2166,2166
"David","Johnson",1979,12953,3540,3540
"David","Johnson",1979,12953,2441,3540
"David","Johnson",1979,16793,9444,9444
"David","Johnson",1979,17812,1740,1740
"David","Johnson",1980,13101,1687,1687
"David","Johnson",1982,13770,8379,8379
"David","Johnson",1982,15242,2291,2291
"David","Johnson",1982,15675,3349,3349
"David","Johnson",1983,10632,9911,9911
"David","Johnson",1983,17297,5417,5417
"David","Johnson",1984,10823,2773,2773
"David","Johnson",1984,19170,6867,6867
"David","Johnson",1985,16919,2628,2628
"David","Johnson",1985,17154,4147,4147
"David","Johnson",1985,18420,6348,6348
"David","Johnson",1986,13579,3736,3736
"David","Johnson",1986,14245,7373,7373
"David","Johnson",1986,17868,1879,1879
"David","Johnson",1988,12631,6786,6786
"David","Johnson",1988,15964,1598,1598
"David","Johnson",1988,18123,3469,3469
"David","Johnson",1989,11590,4421,4421
"David","Johnson",1989,18633,4520,4520
"David","Johnson",1989,18748,6392,6392
"David","Johnson",1989,19484,1018,1018
"David","Johnson",1992,19736,7459,7459
"David","Johnson",1994,14307,8084,8084
"David","Johnson",1996,15807,1783,1783
"David","Johnson",1996,18340,7644,7644
"David","Johnson",1997,15333,860,860
"David","Johnson",1998,12219,2088,2088
"David","Johnson",1998,14207,7908,7908
"David","Johnson",1999,15851,4583,4583
"David","Johnson",1999,16532,8846,8846
"David","Jones",1970,11012,3662,3662
"David","Jones",1970,19536,2091,2091
"David","Jones",1971,17495,9817,9817
"David","Jones",1972,13942,141,141
"David","Jones",1972,16142,5045,5045
"David","Jones",1974,12173,2453,2453
"David","Jones",1974,18852,5475,5475
"David","Jones",1975,16204,1171,1171
"David","Jones",1975,16207,9193,9193
"David","Jones",1975,17814,6627,6627
"David","Jones",1977,11346,8611,8611
"David","Jones",1978,10399,9899,9899
"David","Jones",1978,13045,4453,4453
"David","Jones",1978,16007,7332,7332
"David","Jones",1978,16410,9408,9408
"David","Jones",1978,18949,2414,2414
"David","Jones",1979,11201,2741,2741
"David","Jones",1981,19230,7123,7123
"David","Jones",1982,11474,9224,9224
"David","Jones",1983,12236,7297,7297
"David","Jones",1985,12580,7499,7499
"David","Jones",1985,17416,1202,1202
"David","Jones",1986,11069,338,338
"David","Jones",1986,11394,11,11
"David","Jones",1987,12575,8578,8578
"David","Jones",1988,11988,1950,1950
"David","Jones",1989,13199,5797,5797
"David","Jones",1989,19464,8316,8316
"David","Jones",1992,12913,7601,7601
"David","Jones",1994,12721,7634,7634
"David","Jones",1995,11458,61,61
"David","Jones",1995,17207,3307,3307
"David","Jones",1995,17306,8688,8688
"David","Jones",1995,19344,5178,5178
"David","Jones",1996,12263,2520,2520
"David","Jones",1996,13675,9053,9053
"David","Jones",1996,18112,7849,7849
"David","Jones",1996,18484,8033,8033
"David","Jones",1997,11020,8252,8252
"David","Jones",1997,14824,7805,7805
"David","Jones",1998,10609,308,308
"David","Jones",1998,12202,7961,7961
"David","Jones",1999,11625,5598,5598
"David","Jones",1999,15007,1384,1384
"David","Jones",1999,15057,1047,1047
"David","Jones",2000,11372,4890,4890
"David","Jones",2000,18095,7573,7573
"David","Martinez",1970,10893,1813,1813
"David","Martinez",1970,16624,1883,1883
"David","Martinez",1970,16632,3334,3334
"David","Martinez",1971,14818,2410,2410
"David","Martinez",1971,17495,195,195
"David","Martinez",1973,11826,6910,6910
"David","Martinez",1973,15479,423,423
"David","Martinez",1974,10413,6706,6706
"David","Martinez",1975,17996,6384,6384
"David","Martinez",1976,16381,933,933
"David","Martinez",1977,15732,4746,4746
"David","Martinez",1977,17024,6603,6603
"David","Martinez",1979,11918,8998,8998
"David","Martinez",1979,16550,4993,4993
"David","Martinez",1979,19997,7417,7417
"David","Martinez",1980,10315,5646,5646
"David","Martinez",1980,16325,4120,4120
"David","Martinez",1981,18215,4808,4808
"David","Martinez",1982,10723,3136,3136
"David","Martinez",1982,19045,9527,9527
"David","Martinez",1983,13946,6098,6098
"David","Martinez",1983,15937,4344,4344
"David","Martinez",1984,17185,7088,7088
"David","Martinez",1985,10893,7069,7069
"David","Martinez",1985,10991,8449,8449
"David","Martinez",1987,13675,1264,1264
"David","Martinez",1987,16852,3653,3653
"David","Martinez",1988,15161,7545,7545
"David","Martinez",1988,18784,1856,1856
"David","Martinez",1988,18876,3822,3822
"David","Martinez",1989,10140,2563,2563
"David","Martinez",1989,19850,1374,1374
"David","Martinez",1990,16785,5313,5313
"David","Martinez",1991,17765,6513,6513
"David","Martinez",1992,11690,9558,9558
"David","Martinez",1993,14551,1724,1724
"David","Martinez",1994,11514,3383,3383
"David","Martinez",1994,11759,8754,8754
"David","Martinez",1995,11811,7329,7329
"David","Martinez",1996,19095,8211,8211
"David","Martinez",1998,13584,2580,2580
"David","Martinez",1999,15994,5016,5016
"David","Martinez",2000,13635,1126,1126
"David","Martinez",2000,19356,9195,9195
"David","Martinez",2000,19488,4695,4695
"David","Miller",1970,17829,547,547
"David","Miller",1971,11423,2328,2328
"David","Miller",1971,16399,8999,8999
"David","Miller",1971,18079,2104,2104
"David","Miller",1971,19089,8903,8903
"David","Miller",1972,10107,4730,4730
"David","Miller",1972,13649,7839,7839
"David","Miller",1973,12614,5407,5407
"David","Miller",1973,16258,8719,8719
"David","Miller",1973,17980,228,228
"David","Miller",1974,10715,5562,5562
"David","Miller",1975,10474,3632,3632
"David","Miller",1975,17132,962,962
"David","Miller",1975,19432,7013,7013
"David","Miller",1975,19565,6864,6864
"David","Miller",1976,10146,4909,4909
"David","Miller",1977,10480,695,695
"David","Miller",1977,12371,3590,3590
"David","Miller",1980,16628,4661,4661
"David","Miller",1980,19755,733,733
"David","Miller",1981,10124,9111,9111
"David","Miller",1982,16153,4446,4446
"David","Miller",1982,16393,7080,7080
"David","Miller",1983,10956,5006,5006
"David","Miller",1983,11869,8934,8934
"David","Miller",1983,12883,4603,4603
"David","Miller",1983,12941,5137,5137
"David","Miller",1985,12747,4135,4135
"David","Miller",1986,12748,6300,6300
"David","Miller",1987,10321,6666,6666
"David","Miller",1987,17035,2103,2103
"David","Miller",1988,17564,9523,9523
"David","Miller",1989,13244,5209,5209
"David","Miller",1989,15021,5404,5404
"David","Miller",1990,11912,781,781
"David","Miller",1991,11243,3963,3963
"David","Miller",1991,13214,1150,1150
"David","Miller",1991,16503,9639,9639
"David","Miller",1991,19707,7694,7694
"David","Miller",1992,15143,6175,6175
"David","Miller",1992,19263,9220,9220
"David","Miller",1993,10111,3671,3671
"David","Miller",1993,19573,458,458
"David","Miller",1993,19977,553,553
"David","Miller",1994,15205,6952,6952
"David","Miller",1995,15310,787,787
"David","Miller",1997,12541,2310,2310
"David","Miller",1998,11042,1901,1901
"David","Miller",1998,14892,5723,5723
"David","Miller",1998,17081,3949,3949
"David","Miller",1998,19581,696,696
"David","Miller",1999,18752,1304,1304
"David","Miller",2000,12041,2907,2907
"David","Miller",2000,18909,2856,2856
"David","Rodriguez",1970,10552,2526,2526
"David","Rodriguez",1970,18375,8453,8453
"David","Rodriguez",1970,18680,1366,1366
"David","Rodriguez",1970,19105,6792,6792
"David","Rodriguez",1971,12166,373,373
"David","Rodriguez",1972,14230,2371,2371
"David","Rodriguez",1972,18748,2252,2252
"David","Rodriguez",1973,18763,8046,8046
"David","Rodriguez",1974,12133,8400,8400
"David","Rodriguez",1974,13706,7430,7430
"David","Rodriguez",1974,16536,8038,8038
"David","Rodriguez",1974,18789,2979,2979
"David","Rodriguez",1976,10110,1336,1336
"David","Rodriguez",1976,15334,1380,1380
"David","Rodriguez",1977,12135,1892,1892
"David","Rodriguez",1977,17290,104,104
"David","Rodriguez",1978,19553,533,533
"David","Rodriguez",1979,19321,5520,5520
"David","Rodriguez",1980,11811,3389,3389
"David","Rodriguez",1980,18554,7030,7030
"David","Rodriguez",1981,15024,1690,1690
"David","Rodriguez",1981,17194,5651,5651
"David","Rodriguez",1981,18066,864,864
"David","Rodriguez",1982,18722,9720,9720
"David","Rodriguez",1983,11727,5200,5200
"David","Rodriguez",1984,15892,1342,1342
"David","Rodriguez",1984,17164,9254,9254
"David","Rodriguez",1985,11253,6641,6641
"David","Rodriguez",1985,15670,9177,9177
"David","Rodriguez",1987,11266,7603,7603
"David","Rodriguez",1988,13039,5189,5189
"David","Rodriguez",1988,16513,6833,6833
"David","Rodriguez",1989,10995,6037,6037
"David","Rodriguez",1989,16694,2477,2477
"David","Rodriguez",1991,16348,914,914
"David","Rodriguez",1991,19198,8058,8058
"David","Rodriguez",1991,19308,829,829
"David","Rodriguez",1992,14638,5859,5859
"David","Rodriguez",1992,17076,5471,5471
"David","Rodriguez",1993,11467,5282,5282
"David","Rodriguez",1994,12495,7869,7869
"David","Rodriguez",1997,10065,5315,5315
"David","Rodriguez",1997,12570,4398,4398
"David","Rodriguez",1998,12547,8716,8716
"David","Rodriguez",1999,10747,1760,1760
"David","Rodriguez",1999,14674,2621,2621
"David","Smith",1971,12111,1158,1158
"David","Smith",1971,17783,8156,8156
"David","Smith",1971,18769,9727,9727
"David","Smith",1972,14579,5588,5588
"David","Smith",1972,19765,8694,8694
"David","Smith",1974,10160,7742,7742
"David","Smith",1974,10366,1770,1770
"David","Smith",1974,15591,5269,5269
"David","Smith",1974,18171,5191,5191
"David","Smith",1976,14047,8979,8979
"David","Smith",1978,16384,2803,2803
"David","Smith",1978,16870,8412,8412
"David","Smith",1979,16046,8088,8088
"David","Smith",1979,17730,6202,6202
"David","Smith",1980,12982,9805,9805
"David","Smith",1980,18954,4361,4361
"David","Smith",1982,12068,2437,2437
"David","Smith",1982,17559,6696,6696
"David","Smith",1983,15970,2216,2216
"David","Smith",1983,19970,7501,7501
"David","Smith",1985,19499,7063,7063
"David","Smith",1986,10088,2073,2073
"David","Smith",1986,11180,7230,7230
"David","Smith",1986,11249,5022,5022
"David","Smith",1987,15181,6790,6790
"David","Smith",1989,14544,2068,2068
"David","Smith",1990,15859,6441,6441
"David","Smith",1991,10743,980,980
"David","Smith",1992,12049,3378,3378
"David","Smith",1992,12534,4480,4480
"David","Smith",1992,18172,3135,3135
"David","Smith",1992,19035,9511,9511
"David","Smith",1992,19398,2609,2609
"David","Smith",1994,13023,8761,8761
"David","Smith",1994,14151,4740,4740
"David","Smith",1994,17533,4896,4896
"David","Smith",1995,11624,9641,9641
"David","Smith",1996,11093,2692,2692
"David","Smith",1997,14934,1976,1976
"David","Smith",1998,14964,4917,4917
"David","Smith",1998,18554,148,148
"David","Smith",1999,14583,6178,6178
"David","Smith",1999,14969,2813,2813
"David","Smith",1999,18712,401,401
"David","Smith",2000,17666,9843,9843
"David","Williams",1970,10265,8572,8572
"David","Williams",1970,17096,6561,6561
"David","Williams",1971,13583,9230,9230
"David","Williams",1971,13887,2165,2165
"David","Williams",1971,16225,7815,7815
"David","Williams",1971,17404,2604,2604
"David","Williams",1972,11107,8340,8340
"David","Williams",1972,14789,1466,1466
"David","Williams",1974,11565,9427,9427
"David","Williams",1974,11825,1923,1923
"David","Williams",1974,13933,7357,7357
"David","Williams",1974,16614,6936,6936
"David","Williams",1974,17546,9769,9769
"David","Williams",1975,12530,7610,7610
"David","Williams",1977,11281,5647,5647
"David","Williams",1977,16029,3543,3543
"David","Williams",1979,14829,1800,1800
"David","Williams",1980,15017,6385,6385
"David","Williams",1980,17309,79,79
"David","Williams",1980,18443,8529,8529
"David","Williams",1981,18618,1003,1003
"David","Williams",1982,18733,2846,2846
"David","Williams",1983,17457,8378,8378
"David","Williams",1983,17580,9543,9543
"David","Williams",1985,14948,2921,2921
"David","Williams",1985,19378,9266,9266
"David","Williams",1986,11206,3767,3767
"David","Williams",1986,11365,3953,3953
"David","Williams",1986,12099,5901,5901
"David","Williams",1988,12031,7226,7226
"David","Williams",1988,12677,4578,4578
"David","Williams",1988,18332,1157,1157
"David","Williams",1989,11664,8276,8276
"David","Williams",1989,12564,3607,3607
"David","Williams",1990,11249,8381,8381
"David","Williams",1990,11625,9426,9426
"David","Williams",1990,17062,3658,3658
"David","Williams",1991,14065,9216,9216
"David","Williams",1992,18515,3600,3600
"David","Williams",1992,19105,579,579
"David","Williams",1993,11535,1256,1256
"David","Williams",1994,13563,46,46
"David","Williams",1999,16628,4980,4980
"David","Williams",1999,18676,9333,9333
"David","Williams",2000,10241,5212,5212
"David","Williams",2000,17839,3097,3097
"David","Williams",2000,18166,6553,6553
"David","Williams",2000,18720,1958,1958
"Emily","Brown",1970,14974,718,718
"Emily","Brown",1971,16238,678,678
"Emily","Brown",1973,16609,7671,7671
"Emily","Brown",1975,11246,5241,5241
"Emily","Brown",1976,13190,835,835
"Emily","Brown",1976,18029,5554,5554
"Emily","Brown",1977,11676,5912,5912
"Emily","Brown",1977,17472,6078,6078
"Emily","Brown",1978,12558,2288,2288
"Emily","Brown",1979,18861,890,890
"Emily","Brown",1980,15840,8166,8166
"Emily","Brown",1980,18633,2471,2471
"Emily","Brown",1981,10305,1703,1703
"Emily","Brown",1981,18910,23,23
"Emily","Brown",1982,10113,3385,3385
"Emily","Brown",1982,18493,9501,9501
"Emily","Brown",1984,12167,4411,4411
"Emily","Brown",1984,16573,3952,3952
"Emily","Brown",1984,19490,4828,4828
"Emily","Brown",1986,14016,2687,2687
"Emily","Brown",1987,10544,5188,5188
"Emily","Brown",1987,10971,3107,3107
"Emily","Brown",1987,14521,2988,2988
"Emily","Brown",1987,19474,2737,2737
"Emily","Brown",1988,10672,6854,6854
"Emily","Brown",1989,17740,1641,1641
"Emily","Brown",1990,11023,8540,8540
"Emily","Brown",1990,11453,9437,9437
"Emily","Brown",1990,11663,3311,3311
"Emily","Brown",1991,10020,8423,8423
"Emily","Brown",1991,10994,7219,7219
"Emily","Brown",1991,18404,9533,9533
"Emily","Brown",1993,10960,422,422
"Emily","Brown",1993,12305,6052,6052
"Emily","Brown",1993,17630,2895,2895
"Emily","Brown",1993,17719,4370,4370
"Emily","Brown",1993,19575,6469,6469
"Emily","Brown",1994,10955,3571,3571
"Emily","Brown",1994,16417,559,559
"Emily","Brown",1995,11475,6552,6552
"Emily","Brown",1995,12773,2052,2052
"Emily","Brown",1998,18998,3287,3287
"Emily","Brown",1999,15890,9507,9507
"Emily","Brown",1999,17592,5311,5311
"Emily","Brown",1999,18934,2991,2991
"Emily","Brown",2000,16608,8643,8643
"Emily","Brown",2000,16938,2142,2142
"Emily","Brown",2000,17948,2865,2865
"Emily","Davis",1970,14548,9362,9362
"Emily","Davis",1970,14953,720,720
"Emily","Davis",1970,15646,6069,6069
"Emily","Davis",1970,16678,200,200
"Emily","Davis",1970,18635,2020,2020
"Emily","Davis",1970,19601,1233,1233
"Emily","Davis",1971,10723,3015,3015
"Emily","Davis",1971,14017,6126,6126
"Emily","Davis",1972,10224,2690,2690
"Emily","Davis",1972,16188,4236,4236
"Emily","Davis",1972,16972,406,406
"Emily","Davis",1973,19355,2343,2343
"Emily","Davis",1975,16359,7313,7313
"Emily","Davis",1976,16150,1045,1045
"Emily","Davis",1978,15574,8168,8168
"Emily","Davis",1980,14379,4929,4929
"Emily","Davis",1980,15266,1971,1971
"Emily","Davis",1980,18621,8013,8013
"Emily","Davis",1982,12634,4219,4219
"Emily","Davis",1982,13197,7299,7299
"Emily","Davis",1984,16336,4138,4138
"Emily","Davis",1984,16568,2792,2792
"Emily","Davis",1984,18232,5451,5451
"Emily","Davis",1985,17449,6013,6013
"Emily","Davis",1986,10842,3275,3275
"Emily","Davis",1986,14017,2314,2314
"Emily","Davis",1987,12280,6334,6334
"Emily","Davis",1987,16785,844,844
"Emily","Davis",1988,13851,1260,1260
"Emily","Davis",1989,19258,444,444
"Emily","Davis",1992,10919,6212,6212
"Emily","Davis",1993,17813,7734,7734
"Emily","Davis",1994,11301,3455,3455
"Emily","Davis",1994,15213,3209,3209
"Emily","Davis",1995,10010,1626,1626
"Emily","Davis",1995,10725,5491,5491
"Emily","Davis",1995,16726,354,354
"Emily","Davis",1997,11582,4830,4830
"Emily","Davis",1997,13995,3773,3773
"Emily","Davis",1997,18997,7212,7212
"Emily","Davis",1998,14228,3820,3820
"Emily","Davis",1999,18574,5790,5790
"Emily","Garcia",1970,11108,2775,2775
"Emily","Garcia",1972,11969,3271,3271
"Emily","Garcia",1972,17579,2096,2096
"Emily","Garcia",1972,17887,4548,4548
"Emily","Garcia",1973,17643,8434,8434
"Emily","Garcia",1974,17143,4269,4269
"Emily","Garcia",1975,16996,4592,4592
"Emily","Garcia",1976,17561,677,677
"Emily","Garcia",1976,18599,4878,4878
"Emily","Garcia",1977,14707,2825,2825
"Emily","Garcia",1980,10315,2417,2417
"Emily","Garcia",1980,12465,3809,3809
"Emily","Garcia",1980,14532,9432,9432
"Emily","Garcia",1980,15661,8620,8620
"Emily","Garcia",1981,14146,3358,3358
"Emily","Garcia",1982,14556,9320,9320
"Emily","Garcia",1983,15727,9895,9895
"Emily","Garcia",1984,11647,3529,3529
"Emily","Garcia",1984,18445,1859,1859
"Emily","Garcia",1986,10810,2950,2950
"Emily","Garcia",1986,15632,5038,5038
"Emily","Garcia",1986,16945,1529,1529
"Emily","Garcia",1987,13862,5255,5255
"Emily","Garcia",1987,13975,3988,3988
"Emily","Garcia",1987,16677,9396,9396
"Emily","Garcia",1987,19257,5991,5991
"Emily","Garcia",1989,13077,5861,5861
"Emily","Garcia",1989,13274,2688,2688
"Emily","Garcia",1989,14354,5628,5628
"Emily","Garcia",1990,16646,2985,2985
"Emily","Garcia",1991,10006,2932,2932
"Emily","Garcia",1993,17953,9937,9937
"Emily","Garcia",1994,11801,252,252
"Emily","Garcia",1994,14458,9119,9119
"Emily","Garcia",1994,16402,3026,3026
"Emily","Garcia",1996,16314,6280,6280
"Emily","Garcia",1996,18591,428,428
"Emily","Garcia",1997,13369,4853,4853
"Emily","Garcia",1997,14360,7576,7576
"Emily","Garcia",1998,19644,6573,6573
"Emily","Garcia",1999,17560,5455,5455
"Emily","Garcia",2000,12075,3603,3603
"Emily","Garcia",2000,15345,6614,6614
"Emily","Garcia",2000,19506,8521,8521
"Emily","Johnson",1971,18862,8092,8092
"Emily","Johnson",1974,12339,2610,2610
"Emily","Johnson",1974,16627,349,349
"Emily","Johnson",1976,12855,5729,5729
"Emily","Johnson",1976,13043,2392,2392
"Emily","Johnson",1976,16886,8784,8784
"Emily","Johnson",1977,10482,4985,4985
"Emily","Johnson",1977,15059,6176,6176
"Emily","Johnson",1977,15178,2564,2564
"Emily","Johnson",1978,13197,7049,7049
"Emily","Johnson",1978,16213,4846,4846
"Emily","Johnson",1978,17829,8025,8025
"Emily","Johnson",1978,18845,3622,3622
"Emily","Johnson",1979,15708,9576,9576
"Emily","Johnson",1981,12003,3047,3047
"Emily","Johnson",1982,14187,1851,1851
"Emily","Johnson",1982,18110,2360,2360
"Emily","Johnson",1982,19416,2254,2254
"Emily","Johnson",1984,15132,8317,8317
"Emily","Johnson",1984,16109,6485,6485
"Emily","Johnson",1984,17475,6079,6079
"Emily","Johnson",1984,18563,7512,7512
"Emily","Johnson",1985,16506,2634,2634
"Emily","Johnson",1985,16973,4363,4363
"Emily","Johnson",1985,17624,4997,4997
"Emily","Johnson",1986,18798,129,129
"Emily","Johnson",1986,18806,3464,3464
"Emily","Johnson",1987,10041,7570,7570
"Emily","Johnson",1987,11804,2367,2367
"Emily","Johnson",1987,16054,3737,3737
"Emily","Johnson",1987,18466,6725,6725
"Emily","Johnson",1988,10113,4793,4793
"Emily","Johnson",1989,18423,6060,6060
"Emily","Johnson",1990,13563,9373,9373
"Emily","Johnson",1990,13968,8827,8827
"Emily","Johnson",1990,18446,6349,6349
"Emily","Johnson",1992,16199,1055,1055
"Emily","Johnson",1993,11205,9257,9257
"Emily","Johnson",1993,14578,3269,3269
"Emily","Johnson",1993,15662,2883,2883
"Emily","Johnson",1993,17636,9883,9883
"Emily","Johnson",1994,16797,6699,6699
"Emily","Johnson",1994,17987,5705,5705
"Emily","Johnson",1996,11862,9190,9190
"Emily","Johnson",1996,16887,9587,9587
"Emily","Johnson",1998,12160,9080,9080
"Emily","Johnson",1999,19578,8190,8190
"Emily","Johnson",2000,14335,9875,9875
"Emily","Jones",1971,11004,6773,6773
"Emily","Jones",1971,15898,1164,1164
"Emily","Jones",1971,17765,2000,2000
"Emily","Jones",1972,10292,8331,8331
"Emily","Jones",1974,12087,9696,9696
"Emily","Jones",1974,14457,5921,5921
"Emily","Jones",1974,16826,4498,4498
"Emily","Jones",1975,18997,2350,2350
"Emily","Jones",1979,17572,5387,5387
"Emily","Jones",1980,12819,4883,4883
"Emily","Jones",1980,17680,5903,5903
"Emily","Jones",1981,13043,4885,4885
"Emily","Jones",1981,19844,6415,6415
"Emily","Jones",1982,14989,7794,7794
"Emily","Jones",1983,13192,9307,9307
"Emily","Jones",1983,16255,4208,4208
"Emily","Jones",1983,16385,8576,8576
"Emily","Jones",1984,14746,6045,6045
"Emily","Jones",1985,15595,8227,8227
"Emily","Jones",1986,19453,4913,4913
"Emily","Jones",1987,19774,9004,9004
"Emily","Jones",1988,11350,6929,6929
"Emily","Jones",1988,12009,1803,1803
"Emily","Jones",1988,12663,4088,4088
"Emily","Jones",1989,17182,3549,3549
"Emily","Jones",1989,19232,1477,1477
"Emily","Jones",1990,14091,4353,4353
"Emily","Jones",1990,15894,9399,9399
"Emily","Jones",1992,10415,6292,6292
"Emily","Jones",1992,14232,5552,5552
"Emily","Jones",1993,12361,3519,3519
"Emily","Jones",1993,17455,4991,4991
"Emily","Jones",1994,10155,1404,1404
"Emily","Jones",1994,19717,1292,1292
"Emily","Jones",1996,17176,1966,1966
"Emily","Jones",1996,18104,4547,4547
