"id","firstname","lastname","birthyear","zipcode","gamma.1","gamma.2","gamma.3","gamma.4","posterior"
143,"Sarah","Rodriguez",1985,12133,2,0,2,2,0.9851868388166
144,"James","Williams",1989,12272,2,0,2,2,0.9851868388166
145,"Emma","Miller",1986,18716,2,0,2,2,0.9851868388166
146,"Olivia","Martinez",1972,12013,2,2,2,2,0.999606254813491
148,"David","Smith",1998,18554,2,2,2,2,0.999606254813491
150,"John","Jones",1996,19008,2,2,2,2,0.999606254813491
151,"Emma","Jones",1977,18641,2,0,2,2,0.9851868388166
152,"Emma","Rodriguez",1988,12484,2,2,0,2,0.953764941384782
153,"Olivia","Johnson",1995,10787,2,2,2,2,0.999606254813491
154,"James","Davis",1991,14544,2,0,2,2,0.9851868388166
155,"Emma","Smith",1981,17950,0,2,2,2,0.985296268614473
158,"James","Johnson",1987,11200,2,2,2,2,0.999606254813491
159,"William","Jones",1981,15308,2,2,2,2,0.999606254813491
160,"William","Smith",1975,19268,0,2,2,2,0.985296268614473
162,"Olivia","Smith",1970,17559,2,0,2,2,0.9851868388166
163,"Emma","Williams",1971,16664,0,2,2,2,0.985296268614473
164,"Sarah","Rodriguez",1975,11045,2,2,2,2,0.999606254813491
165,"William","Martinez",1977,19165,2,2,2,2,0.999606254813491
166,"Olivia","Rodriguez",1977,19460,2,2,0,2,0.953764941384782
168,"James","Smith",1979,13359,2,2,2,2,0.999606254813491
169,"Michael","Davis",1975,14965,2,2,2,2,0.999606254813491
171,"David","Jones",1985,13329,0,2,2,2,0.985296268614473
172,"Sarah","Williams",1973,11113,0,2,2,2,0.985296268614473
173,"James","Johnson",1985,14527,0,2,2,2,0.985296268614473
174,"Emily","Garcia",1973,19134,2,0,2,2,0.9851868388166
175,"Olivia","Davis",1993,15899,0,2,2,2,0.985296268614473
176,"William","Rodriguez",1977,18975,2,2,2,2,0.999606254813491
177,"James","Johnson",1985,18904,2,2,2,2,0.999606254813491
178,"William","Jones",1986,19152,2,0,2,2,0.9851868388166
179,"Olivia","Miller",1971,14146,2,2,0,2,0.953764941384782
180,"Emily","Williams",1971,17111,2,2,2,2,0.999606254813491
181,"Emma","Smith",1980,18954,2,2,2,2,0.999606254813491
182,"James","Miller",1980,12300,2,2,0,2,0.953764941384782
185,"David","Jones",1996,13287,2,2,0,2,0.953764941384782
186,"William","Jones",1991,12747,2,2,2,2,0.999606254813491
188,"John","Johnson",1973,13446,2,2,2,2,0.999606254813491
190,"Olivia","Williams",1997,15981,2,2,2,2,0.999606254813491
191,"John","Miller",1974,15454,2,2,0,2,0.953764941384782
192,"Olivia","Martinez",1992,13800,2,2,2,2,0.999606254813491
193,"John","Brown",1979,10374,0,2,2,2,0.985296268614473
194,"Olivia","Rodriguez",1974,18221,0,2,2,2,0.985296268614473
195,"David","Martinez",1971,17495,2,2,2,2,0.999606254813491
196,"William","Miller",1970,13328,2,2,2,2,0.999606254813491
197,"David","Smith",1975,15857,2,0,2,2,0.9851868388166
198,"Olivia","Smith",1970,11260,0,2,2,2,0.985296268614473
199,"James","Brown",1988,14638,2,2,2,2,0.999606254813491
200,"Emily","Davis",1970,16678,2,2,2,2,0.999606254813491
201,"Sarah","Davis",1981,17781,2,2,2,2,0.999606254813491
202,"Jane","Williams",1997,10258,0,2,2,2,0.985296268614473
203,"John","Smith",1978,12466,0,2,2,2,0.985296268614473
204,"David","Davis",1998,14361,2,2,0,2,0.953764941384782
205,"James","Williams",1998,10849,0,2,2,2,0.985296268614473
206,"Emily","Brown",1974,13348,2,2,0,2,0.953764941384782
207,"Michael","Brown",1997,10112,0,2,2,2,0.985296268614473
208,"James","Williams",1995,16049,2,2,0,2,0.953764941384782
210,"Jane","Martinez",1982,18756,2,2,2,2,0.999606254813491
211,"Emily","Rodriguez",1973,10883,2,2,2,2,0.999606254813491
212,"Olivia","Brown",1974,13101,0,2,2,2,0.985296268614473
213,"John","Martinez",1982,16646,0,2,2,2,0.985296268614473
214,"David","Rodriguez",1999,11059,0,2,2,2,0.985296268614473
215,"David","Garcia",1977,11815,2,2,0,2,0.953764941384782
216,"James","Martinez",1976,10361,0,2,2,2,0.985296268614473
217,"Emma","Williams",1976,13341,2,2,2,2,0.999606254813491
218,"William","Johnson",1984,19652,2,2,0,2,0.953764941384782
220,"David","Davis",1982,19781,2,2,0,2,0.953764941384782
221,"Jane","Miller",1981,13371,0,2,2,2,0.985296268614473
222,"Olivia","Martinez",1987,17197,2,2,2,2,0.999606254813491
223,"Sarah","Martinez",1998,17836,0,2,2,2,0.985296268614473
224,"William","Johnson",1977,10607,2,0,2,2,0.9851868388166
225,"James","Martinez",1977,12125,2,2,2,2,0.999606254813491
226,"John","Jones",1997,18832,2,2,2,2,0.999606254813491
227,"David","Smith",1992,17124,0,2,2,2,0.985296268614473
228,"David","Miller",1973,17980,2,2,2,2,0.999606254813491
229,"Emma","Johnson",1999,11860,0,2,2,2,0.985296268614473
230,"David","Williams",1990,17643,2,2,0,2,0.953764941384782
231,"William","Williams",2000,10117,2,0,2,2,0.9851868388166
232,"Emily","Miller",1991,14805,2,2,0,2,0.953764941384782
233,"Jane","Johnson",1979,19406,0,2,2,2,0.985296268614473
235,"John","Miller",1971,18144,2,0,2,2,0.9851868388166
236,"Jane","Williams",1978,19187,2,2,2,2,0.999606254813491
237,"John","Johnson",1998,14765,2,2,2,2,0.999606254813491
238,"Jane","Rodriguez",1988,12503,2,2,2,2,0.999606254813491
239,"Emma","Rodriguez",1987,10873,2,0,2,2,0.9851868388166
240,"John","Garcia",1970,10902,2,2,0,2,0.953764941384782
241,"Michael","Miller",1977,14790,0,2,2,2,0.985296268614473
243,"Jane","Davis",1980,18036,2,2,2,2,0.999606254813491
244,"David","Davis",1973,14778,2,2,2,2,0.999606254813491
245,"James","Martinez",1995,19356,2,2,2,2,0.999606254813491
246,"Olivia","Davis",1995,14411,2,2,2,2,0.999606254813491
247,"Sarah","Williams",1994,14461,0,2,2,2,0.985296268614473
248,"Olivia","Brown",1977,14761,2,2,0,2,0.953764941384782
250,"Sarah","Smith",1973,17951,2,2,2,2,0.999606254813491
251,"Michael","Martinez",1979,17383,2,2,2,2,0.999606254813491
252,"Emily","Garcia",1994,11801,2,2,2,2,0.999606254813491
253,"Michael","Martinez",1988,12273,2,2,2,2,0.999606254813491
254,"William","Williams",1971,17603,2,2,2,2,0.999606254813491
255,"Michael","Miller",1993,18822,0,2,2,2,0.985296268614473
257,"William","Jones",1975,19587,2,2,2,2,0.999606254813491
258,"Michael","Johnson",1995,16589,0,2,2,2,0.985296268614473
259,"James","Smith",1981,18579,2,2,2,2,0.999606254813491
260,"William","Johnson",1987,14533,0,2,2,2,0.985296268614473
262,"Emily","Rodriguez",1986,12849,2,2,2,2,0.999606254813491
263,"Jane","Martinez",1985,18512,2,0,2,2,0.9851868388166
265,"Olivia","Brown",1999,13169,2,2,2,2,0.999606254813491
267,"William","Williams",1971,13125,2,2,2,2,0.999606254813491
268,"David","Brown",1981,12291,2,2,2,2,0.999606254813491
269,"John","Brown",1972,17164,0,2,2,2,0.985296268614473
270,"Michael","Johnson",1995,19874,2,2,2,2,0.999606254813491
271,"Jane","Johnson",1992,12724,2,2,0,2,0.953764941384782
272,"David","Brown",1970,10505,2,2,2,2,0.999606254813491
273,"John","Brown",1982,12674,0,2,2,2,0.985296268614473
274,"Michael","Martinez",1988,18682,0,2,2,2,0.985296268614473
275,"James","Johnson",1983,17596,2,2,2,2,0.999606254813491
277,"Sarah","Martinez",1970,19191,2,2,2,2,0.999606254813491
279,"Michael","Jones",1983,15180,0,2,2,2,0.985296268614473
280,"James","Davis",1994,19607,2,2,2,2,0.999606254813491
281,"Jane","Garcia",1984,19423,2,2,2,2,0.999606254813491
282,"John","Martinez",1997,15226,2,0,2,2,0.9851868388166
283,"Sarah","Rodriguez",1999,13849,2,2,0,2,0.953764941384782
284,"Olivia","Garcia",1987,16225,2,2,2,2,0.999606254813491
285,"Emma","Martinez",2000,12458,2,0,2,2,0.9851868388166
286,"Olivia","Martinez",1977,11528,2,0,2,2,0.9851868388166
287,"Olivia","Jones",1986,19894,0,2,2,2,0.985296268614473
288,"Emily","Brown",1971,14951,2,2,0,2,0.953764941384782
289,"Sarah","Jones",1983,17192,2,2,2,2,0.999606254813491
290,"Emily","Smith",1971,11336,2,2,0,2,0.953764941384782
291,"Emily","Rodriguez",1987,14765,2,2,2,2,0.999606254813491
293,"Emma","Martinez",1997,13984,2,0,2,2,0.9851868388166
294,"William","Martinez",1993,13825,2,0,2,2,0.9851868388166
295,"Olivia","Johnson",2000,15513,2,2,2,2,0.999606254813491
296,"John","Smith",1978,10134,2,2,2,2,0.999606254813491
297,"Jane","Smith",1994,11154,2,0,2,2,0.9851868388166
299,"Michael","Miller",1999,10564,2,2,2,2,0.999606254813491
300,"Olivia","Smith",1978,11640,0,2,2,2,0.985296268614473
301,"William","Johnson",1987,14006,0,2,2,2,0.985296268614473
302,"John","Smith",1980,15068,2,2,0,2,0.953764941384782
303,"Jane","Jones",1988,17844,2,0,2,2,0.9851868388166
304,"Michael","Williams",1985,15506,0,2,2,2,0.985296268614473
305,"Michael","Jones",1999,15104,2,2,0,2,0.953764941384782
306,"Sarah","Garcia",1995,13468,0,2,2,2,0.985296268614473
307,"Olivia","Jones",1993,18803,2,0,2,2,0.9851868388166
308,"David","Jones",1998,10609,2,2,2,2,0.999606254813491
309,"Emily","Johnson",1993,17495,0,2,2,2,0.985296268614473
310,"Jane","Williams",1984,14439,2,0,2,2,0.9851868388166
311,"John","Garcia",1989,15194,2,2,2,2,0.999606254813491
313,"David","Williams",1985,17415,2,0,2,2,0.9851868388166
315,"Jane","Johnson",1992,10383,2,2,2,2,0.999606254813491
316,"Michael","Garcia",1997,17451,2,0,2,2,0.9851868388166
318,"Sarah","Johnson",1983,10522,2,2,2,2,0.999606254813491
319,"Olivia","Smith",1992,14134,2,2,2,2,0.999606254813491
320,"Michael","Smith",1975,10602,2,0,2,2,0.9851868388166
321,"Michael","Martinez",1996,10515,2,2,2,2,0.999606254813491
322,"John","Brown",1991,15816,2,2,2,2,0.999606254813491
323,"Emma","Davis",1985,18086,0,2,2,2,0.985296268614473
324,"John","Smith",1972,12915,2,2,2,2,0.999606254813491
325,"Emily","Garcia",1997,11382,2,2,0,2,0.953764941384782
326,"Emma","Garcia",1978,15997,2,0,2,2,0.9851868388166
329,"Emma","Jones",1981,13942,0,2,2,2,0.985296268614473
330,"William","Martinez",1973,10469,2,2,0,2,0.953764941384782
331,"Jane","Rodriguez",1970,12826,0,2,2,2,0.985296268614473
332,"John","Smith",1987,17921,0,2,2,2,0.985296268614473
333,"Emily","Jones",1974,16299,2,2,0,2,0.953764941384782
334,"James","Rodriguez",1973,11631,2,2,2,2,0.999606254813491
335,"David","Miller",1980,15632,0,2,2,2,0.985296268614473
336,"Emma","Johnson",1978,13237,2,2,2,2,0.999606254813491
337,"Jane","Williams",1980,16763,2,0,2,2,0.9851868388166
338,"David","Jones",1986,11069,2,2,2,2,0.999606254813491
339,"Jane","Garcia",1997,16227,2,2,2,2,0.999606254813491
340,"Sarah","Smith",1999,12558,0,2,2,2,0.985296268614473
341,"Olivia","Garcia",1988,19406,2,2,2,2,0.999606254813491
342,"Olivia","Smith",1982,16308,2,2,2,2,0.999606254813491
343,"James","Miller",1981,15620,2,2,2,2,0.999606254813491
344,"William","Johnson",1972,11862,2,2,2,2,0.999606254813491
345,"Sarah","Miller",1975,19386,2,2,2,2,0.999606254813491
346,"Michael","Smith",1994,14412,2,2,2,2,0.999606254813491
347,"Emma","Smith",1970,18479,0,2,2,2,0.985296268614473
348,"William","Jones",1982,18624,2,2,0,2,0.953764941384782
349,"Emily","Johnson",1974,16627,2,2,2,2,0.999606254813491
351,"Michael","Miller",1977,12147,2,2,0,2,0.953764941384782
352,"Emma","Brown",1979,13226,2,2,2,2,0.999606254813491
353,"Sarah","Smith",1996,13739,2,0,2,2,0.9851868388166
354,"Emily","Davis",1995,16726,2,2,2,2,0.999606254813491
355,"William","Johnson",1971,19046,2,2,2,2,0.999606254813491
356,"Olivia","Davis",1973,16282,2,2,2,2,0.999606254813491
357,"Emma","Davis",1996,14475,2,2,2,2,0.999606254813491
358,"Emily","Rodriguez",1976,16478,2,2,2,2,0.999606254813491
359,"Olivia","Martinez",1979,13681,0,2,2,2,0.985296268614473
360,"James","Brown",1993,11020,2,2,0,2,0.953764941384782
361,"Sarah","Miller",1996,16637,2,2,2,2,0.999606254813491
362,"Michael","Garcia",1988,19305,2,2,2,2,0.999606254813491
363,"Emily","Smith",1995,14804,2,2,2,2,0.999606254813491
364,"James","Smith",1987,10338,2,2,2,2,0.999606254813491
366,"Emily","Smith",1995,10201,0,2,2,2,0.985296268614473
367,"Emily","Garcia",1990,16352,0,2,2,2,0.985296268614473
368,"Sarah","Garcia",1980,11551,2,2,2,2,0.999606254813491
369,"David","Davis",1993,11155,2,2,2,2,0.999606254813491
370,"John","Johnson",1995,17683,2,2,2,2,0.999606254813491
371,"Emma","Rodriguez",1976,11213,2,2,2,2,0.999606254813491
372,"William","Rodriguez",1990,16216,2,2,2,2,0.999606254813491
373,"David","Rodriguez",1971,12166,2,2,2,2,0.999606254813491
374,"Sarah","Brown",1983,13909,2,0,2,2,0.9851868388166
375,"Michael","Brown",1998,10646,2,2,0,2,0.953764941384782
376,"Emma","Brown",1985,14068,2,2,2,2,0.999606254813491
377,"Olivia","Davis",1979,12286,2,2,0,2,0.953764941384782
378,"David","Rodriguez",1970,11824,2,2,0,2,0.953764941384782
379,"William","Smith",1977,11772,2,2,0,2,0.953764941384782
381,"James","Smith",1993,11052,2,2,2,2,0.999606254813491
382,"Michael","Garcia",2000,17284,2,2,0,2,0.953764941384782
383,"Olivia","Smith",1995,10777,2,0,2,2,0.9851868388166
384,"William","Brown",1982,16682,2,2,2,2,0.999606254813491
385,"Jane","Johnson",2000,15308,2,2,2,2,0.999606254813491
386,"James","Brown",1978,19485,2,0,2,2,0.9851868388166
387,"Sarah","Miller",1989,10900,2,0,2,2,0.9851868388166
388,"Emily","Williams",1995,14663,2,2,2,2,0.999606254813491
389,"Sarah","Jones",1991,11433,2,2,2,2,0.999606254813491
390,"Jane","Davis",2000,11592,0,2,2,2,0.985296268614473
391,"Jane","Miller",1989,11306,2,2,0,2,0.953764941384782
392,"Emma","Martinez",1983,14416,2,2,0,2,0.953764941384782
393,"Emma","Miller",1994,11110,0,2,2,2,0.985296268614473
395,"James","Jones",1977,15953,2,2,2,2,0.999606254813491
396,"William","Smith",1997,15116,0,2,2,2,0.985296268614473
397,"Michael","Williams",1975,13428,0,2,2,2,0.985296268614473
398,"William","Miller",1996,10422,2,2,2,2,0.999606254813491
399,"Emma","Williams",1971,13691,2,2,2,2,0.999606254813491
400,"Olivia","Jones",1984,17638,0,2,2,2,0.985296268614473
401,"David","Smith",1999,18712,2,2,2,2,0.999606254813491
402,"John","Johnson",1994,18497,2,0,2,2,0.9851868388166
403,"William","Smith",1971,11701,2,2,0,2,0.953764941384782
405,"Emma","Jones",1995,15728,2,0,2,2,0.9851868388166
406,"Emily","Davis",1972,16972,2,2,2,2,0.999606254813491
408,"John","Brown",1975,16340,2,2,0,2,0.953764941384782
409,"Michael","Garcia",1990,17887,2,2,2,2,0.999606254813491
410,"Emily","Miller",1981,10794,2,2,0,2,0.953764941384782
411,"John","Williams",1971,12679,2,2,2,2,0.999606254813491
412,"David","Garcia",1979,10250,2,2,2,2,0.999606254813491
414,"Jane","Garcia",1996,17899,2,0,2,2,0.9851868388166
415,"William","Jones",1995,10748,2,2,2,2,0.999606254813491
416,"Michael","Johnson",1970,11615,0,2,2,2,0.985296268614473
417,"Olivia","Williams",1979,18183,2,2,2,2,0.999606254813491
418,"Michael","Williams",1990,10249,2,2,2,2,0.999606254813491
419,"John","Brown",1978,11613,2,2,2,2,0.999606254813491
420,"William","Williams",1989,12457,2,2,2,2,0.999606254813491
421,"Sarah","Garcia",2000,17426,2,2,2,2,0.999606254813491
422,"Emily","Brown",1993,10960,2,2,2,2,0.999606254813491
423,"David","Martinez",1973,15479,2,2,2,2,0.999606254813491
424,"William","Miller",2000,19996,2,2,2,2,0.999606254813491
425,"Michael","Martinez",1972,10851,2,2,0,2,0.953764941384782
426,"Jane","Garcia",1999,11924,2,2,2,2,0.999606254813491
427,"Emma","Johnson",2000,15991,2,0,2,2,0.9851868388166
428,"Emily","Garcia",1996,18591,2,2,2,2,0.999606254813491
429,"Sarah","Rodriguez",1992,19991,2,2,2,2,0.999606254813491
430,"Olivia","Miller",1988,17589,2,2,2,2,0.999606254813491
431,"William","Williams",1976,15055,2,2,2,2,0.999606254813491
432,"Sarah","Martinez",1987,11862,2,2,2,2,0.999606254813491
433,"John","Johnson",2000,18569,2,2,0,2,0.953764941384782
434,"Sarah","Brown",1984,15102,2,2,0,2,0.953764941384782
435,"Emma","Williams",1997,18804,2,2,2,2,0.999606254813491
436,"Michael","Davis",1991,17140,2,2,2,2,0.999606254813491
437,"Jane","Brown",1971,15949,2,2,2,2,0.999606254813491
438,"Michael","Garcia",1984,19086,0,2,2,2,0.985296268614473
439,"John","Jones",1988,12803,0,2,2,2,0.985296268614473
440,"Jane","Smith",1975,19997,2,2,2,2,0.999606254813491
441,"Jane","Williams",1982,14210,2,0,2,2,0.9851868388166
442,"Emma","Jones",1994,19520,2,0,2,2,0.9851868388166
443,"Olivia","Brown",1995,15046,2,2,2,2,0.999606254813491
444,"Emily","Davis",1989,19258,2,2,2,2,0.999606254813491
446,"William","Jones",1999,13519,2,2,0,2,0.953764941384782
447,"Emma","Martinez",1980,17377,2,0,2,2,0.9851868388166
448,"Michael","Garcia",1986,11942,0,2,2,2,0.985296268614473
449,"Sarah","Rodriguez",1979,10820,2,2,0,2,0.953764941384782
450,"Sarah","Davis",1984,16818,2,2,2,2,0.999606254813491
451,"Emma","Williams",1973,13010,2,2,2,2,0.999606254813491
452,"John","Brown",1973,10556,2,0,2,2,0.9851868388166
453,"Jane","Brown",1989,17017,2,2,2,2,0.999606254813491
455,"Emma","Rodriguez",1994,19453,2,2,2,2,0.999606254813491
456,"Emma","Rodriguez",1981,14040,2,2,2,2,0.999606254813491
457,"William","Johnson",1997,11473,2,2,2,2,0.999606254813491
458,"David","Miller",1993,19573,2,2,2,2,0.999606254813491
459,"John","Brown",1981,15702,2,0,2,2,0.9851868388166
460,"Olivia","Williams",1982,11954,2,2,0,2,0.953764941384782
461,"James","Williams",1999,18066,2,2,0,2,0.953764941384782
462,"James","Garcia",1983,15638,0,2,2,2,0.985296268614473
464,"Olivia","Garcia",1996,11910,2,2,0,2,0.953764941384782
465,"Emily","Davis",1970,11661,2,2,0,2,0.953764941384782
467,"Emily","Rodriguez",1973,12056,2,2,2,2,0.999606254813491
468,"Michael","Smith",1984,19696,0,2,2,2,0.985296268614473
469,"William","Jones",1988,12951,2,2,2,2,0.999606254813491
470,"John","Rodriguez",1971,17107,0,2,2,2,0.985296268614473
471,"Sarah","Jones",1997,12330,2,2,2,2,0.999606254813491
472,"Olivia","Brown",1988,17628,0,2,2,2,0.985296268614473
473,"Olivia","Martinez",1977,17886,2,2,2,2,0.999606254813491
474,"John","Williams",1976,13940,2,0,2,2,0.9851868388166
475,"William","Smith",1979,10659,2,2,2,2,0.999606254813491
476,"David","Rodriguez",1976,13683,0,2,2,2,0.985296268614473
477,"Sarah","Rodriguez",1977,14563,2,2,2,2,0.999606254813491
478,"Olivia","Johnson",1971,14625,2,0,2,2,0.9851868388166
480,"James","Brown",1991,11884,2,2,2,2,0.999606254813491
483,"Sarah","Brown",1982,19497,2,2,2,2,0.999606254813491
